51|sivil|Некоторые больные перестали покупать лекарства. Говорят, священник велел им молиться и терпеть.|Some sick stopped buying remedies. A priest told them to pray and endure.|Приказать храмам не мешать лечению.|Order temples not to hinder healing.|Спасибо. Болезни терпение не раздражает, а радует.|Thank you. Disease is glad when you treat it instead of telling patients to endure.|h+15,c-10|Поддержать церковь.|Support the church.|Тогда пусть молитвы сбивают жар. Я посмотрю.|Then let prayers break the fever. I will watch.|c+12,h-15|Разрешить и молитвы, и лекарства.|Allow both prayer and medicine.|Пусть лечатся всем сразу. Иногда отчаяние полезно.|Let them heal with everything at once. Sometimes desperation helps.|h+8,c+5,g-5
62|arvel|Во время службы нищие протягивают руки прямо у алтаря. Богатые прихожане жалуются, что им мешают молиться.|Beggars reach out at the altar during service. Rich parishioners complain they disturb prayer.|Оставить нищих у алтаря.|Leave beggars at the altar.|Молитва рядом с бедностью честнее.|Prayer beside poverty is honester.|c-3,h+10|Вывести нищих наружу.|Move beggars outside.|Храм станет красивее. И холоднее.|The temple grows prettier. And colder.|c+8,h-8|Создать отдельную раздачу еды после службы.|Create a separate food handout after service.|Хорошо. Милость не должна мешать молитве, но должна быть рядом.|Good. Mercy should not block prayer, but stay near.|f-10,c+5,h+12
63|borvin|Храм просит серебро на новый колокол. Говорят, его звон будет защищать город. Я бы предпочёл защитные стены.|The temple wants silver for a new bell. They say its ring will guard the city. I would prefer walls.|Дать серебро на колокол.|Fund the bell.|Колокол будет звонить. Казна — пустеть.|The bell will ring. The treasury will empty.|g-15,c+15,h+5|Отказать.|Refuse.|Тишина дешевле серебра.|Silence is cheaper than silver.|g+5,c-10|Дать бронзу вместо серебра.|Give bronze instead of silver.|Колокол будет беднее, но всё ещё громче моего недовольства.|A poorer bell, still louder than my displeasure.|g-5,c+5
64|rudolf|Малрик хочет, чтобы армия постилась перед походом. Голодный солдат хуже молится и хуже бьёт.|Malrik wants the army to fast before a campaign. A hungry soldier prays and fights worse.|Приказать армии поститься.|Order the army to fast.|Если враг нападёт, будем бросать в него молитвы.|If the enemy strikes, we will throw prayers.|c+15,a-15,f+10|Освободить армию от поста.|Exempt the army from fasting.|Спасибо. Солдат с мясом в животе полезнее святого скелета.|Thank you. A soldier with meat in his belly beats a holy skeleton.|a+12,c-10,f-5|Пост только для офицеров.|Fast only for officers.|Офицеры будут страдать красиво. Рядовые — есть.|Officers suffer prettily. Rank and file eat.|c+5,a-3,f+5
65|mira|Паломники принесли новую болезнь. Священники называют её испытанием. Я называю её заразой.|Pilgrims brought a new disease. Priests call it a trial. I call it plague.|Закрыть город для паломников.|Close the city to pilgrims.|Это спасёт город. И разозлит тех, кто идёт к святыне.|It saves the city. And angers those bound for the shrine.|h+20,c-15,f+5|Проверять паломников у ворот.|Screen pilgrims at the gates.|Медленно, но лучше, чем пускать болезнь с песнями.|Slow, but better than letting sickness in with hymns.|h+12,g-8,c-3|Не мешать паломничеству.|Do not hinder pilgrimage.|Тогда испытание станет массовым.|Then the trial becomes mass.|c+12,h-20
66|gromm|У храма продают рыбу для поста. Половина уже пахнет как проповедь после дождя.|Fish for the fast is sold by the temple. Half already smells like a sermon after rain.|Конфисковать испорченную рыбу.|Seize spoiled fish.|Люди потеряют ужин, но сохранят животы.|People lose supper but keep their guts.|h+12,f-5,c-3|Разрешить продавать после засолки.|Allow sale after salting.|Соль — не магия. Хотя купцы верят обратному.|Salt is not magic. Though merchants believe otherwise.|f+8,h-8|Закрыть рынок у храма.|Close the market by the temple.|Вонь уйдёт. Прибыль тоже.|The stench leaves. So does profit.|h+15,g-8,c-8
67|varn|После проповеди толпа идёт к дворцу. Они несут свечи, не оружие. Но свечой тоже можно поджечь дверь.|After the sermon a crowd marches on the palace. They carry candles, not weapons. But candles can burn doors.|Встретить толпу стражей.|Meet them with guards.|Свечи погаснут быстро. Гнев — нет.|Candles die fast. Anger does not.|a+10,c-5,h-5|Выйти к ним лично.|Go out to them yourself.|Я буду рядом. Если свечи станут факелами, бегите первым.|I will be near. If candles turn to torches, run first.|h+10,a-5,c+3|Раздать хлеб и пустить представителей внутрь.|Give bread and admit representatives.|Хлеб остужает руки лучше воды.|Bread cools hands better than water.|f-10,h+12,c+5
68|edric|Если церковь назовёт вас благочестивым, многие забудут переворот. Но церковь не делает таких подарков бесплатно.|If the church names you pious, many will forget the coup. But the church gives no such gifts for free.|Купить благочестивую репутацию.|Buy a pious reputation.|Репутация куплена. Теперь важно, чтобы чек не нашли.|Reputation bought. Now hide the receipt.|c+20,g-20,h+5|Заслужить её делами.|Earn it by deeds.|Медленнее. Но крепче.|Slower. But stronger.|g-10,h+10,c+5|Не нуждаюсь в церковной репутации.|I need no church reputation.|Так говорят короли до первой проповеди против них.|Kings say that until the first sermon against them.|a+5,c-15
69|selena|Пекари продают 'святой хлеб' втрое дороже обычного. Народ покупает, потому что боится болезни.|Bakers sell 'holy bread' triple the price. People buy from fear of disease.|Запретить святой хлеб.|Ban holy bread.|Вы запретили страху быть товаром. Смело.|You forbade fear as merchandise. Bold.|h+10,c-8,g-5|Обложить святой хлеб налогом.|Tax holy bread.|Если люди платят за страх, корона хотя бы получит долю.|If people pay for fear, the crown gets a share.|g+15,h-5,c-3|Разрешить, но установить цену.|Allow it but set a price.|Контролируемое суеверие. Почти государственная политика.|Controlled superstition. Almost state policy.|h+8,g+5
70|morwen|Церковь требует сжечь книги, найденные у учёного. Говорят, они портят души.|The church demands burning books found with a scholar. They corrupt souls, they say.|Сжечь книги.|Burn the books.|Бумага горит быстро. Идеи — по-разному.|Paper burns fast. Ideas — differently.|c+15,h-5|Спрятать книги в королевском архиве.|Hide books in the royal archive.|Тайный огонь иногда опаснее открытого.|Secret fire can be deadlier than open flame.|c-10,g-3,h+3|Разрешить читать после проверки.|Allow reading after review.|Редкий случай, когда книга дожила до суда.|A rare book that lived to face judgment.|c-5,h+5,g-5
71|sivil|Священники называют мои травы ведьмовством. Забавно, что их монахи покупают те же травы через заднюю дверь.|Priests call my herbs witchcraft. Funny that their monks buy the same herbs at the back door.|Защитить Сивил.|Protect Sivil.|Спасибо. Я почти тронута. Почти.|Thank you. I am almost moved. Almost.|h+15,c-12|Запретить её травы.|Ban her herbs.|Тогда пусть монахи лечат кашель псалмами.|Let monks cure coughs with psalms.|c+12,h-15|Разрешить травы через храмовую проверку.|Allow herbs through temple inspection.|Храм будет нюхать мои мешочки. Какая честь.|The temple will sniff my pouches. What honor.|h+8,c+5,g-3
72|ingvar|К вашим воротам пришли семьи с севера. Они бегут от войны, но молятся не вашим богам.|Families from the north came to your gates. They flee war but pray to other gods.|Принять беженцев.|Accept the refugees.|Север запомнит вашу милость. Ваши священники — тоже.|The north will remember your mercy. Your priests too.|h+8,f-15,c-15|Отказать им.|Refuse them.|Холодная милость. Почти северная.|Cold mercy. Almost northern.|f+5,c+10,h-8|Принять, если они будут жить отдельно.|Accept if they live apart.|Полуприют. Лучше дороги, хуже дома.|Half-shelter. Better than the road, worse than home.|f-8,g-5,c-5
73|malrik|В городе молятся чужим богам. Если это оставить, завтра ересь будет не в подвалах, а на рынке.|Foreign gods are worshipped in the city. Leave it and heresy moves from cellars to the market.|Запретить чужие обряды.|Forbid foreign rites.|Чистота веры требует твёрдой руки.|Purity of faith needs a firm hand.|c+20,a+5,h-10|Разрешить частные обряды.|Allow private rites.|Тихая ересь всё равно ересь. Но хотя бы тихая.|Quiet heresy is still heresy. But quiet.|c-8,h+8|Не вмешиваться.|Do not interfere.|Терпимость часто входит в город как гость, а остаётся как хозяин.|Tolerance enters as a guest and stays as host.|c-15,g+5,h+5
74|arvel|В деревне обвинили женщину в колдовстве. Её дом сожгли без суда. Теперь дети спят на пепле.|A village accused a woman of witchcraft. Her house burned without trial. Children sleep on ash.|Наказать виновных.|Punish the guilty.|Справедливость запоздала, но хотя бы пришла.|Justice was late, but came.|h+10,c-10,a+5|Помочь детям и не трогать деревню.|Help the children and leave the village.|Мягко. Иногда мягкость спасает больше, чем наказание.|Softly. Sometimes softness saves more than punishment.|g-8,f-5,h+12|Не вмешиваться.|Do not interfere.|Тогда пепел станет законом.|Then ash becomes law.|c+5,h-12
75|borvin|Если печатать простые молитвенники и продавать их дёшево, народ будет занят верой, а казна — доходом.|Print simple prayer books cheaply and the people stay busy with faith and the treasury with income.|Печатать молитвенники.|Print prayer books.|Прекрасно. Бумага, которая приносит и веру, и монеты.|Fine. Paper that brings faith and coins.|g+12,c+10,h+3|Раздавать бесплатно.|Give them free.|Бесплатная вера. Очень дорогая идея.|Free faith. A costly idea.|g-10,c+12,h+5|Не тратить бумагу на молитвы.|Spend no paper on prayers.|Бумага останется для налогов. Более надёжного жанра.|Paper stays for taxes. A steadier genre.|g+5,c-8
76|rudolf|Один священник велел солдатам не трогать беглецов, если те укрылись в храме. Это подрывает командование.|A priest told soldiers not to touch fugitives in sanctuary. It undermines command.|Поддержать священника.|Support the priest.|Тогда солдаты начнут смотреть на алтарь перед каждым приказом.|Then soldiers will look to the altar before every order.|c+12,a-12|Поддержать армию.|Support the army.|Хорошо. Приказ должен идти сверху, не сбоку.|Good. Orders from above, not from the side.|a+12,c-12|Установить правило храмового убежища на три дня.|Sanctuary for three days only.|Три дня терпимо. На четвёртый я заберу беглеца сам.|Three days is tolerable. On the fourth I take the fugitive myself.|c+5,a+5,g-3
77|mira|Священники против новых могильных ям за городом. Говорят, земля там не освящена. А старое кладбище переполнено.|Priests oppose new graves outside the walls. The ground is unconsecrated. The old cemetery is full.|Освятить новую землю и хоронить там.|Consecrate new ground and bury there.|Наконец-то решение, где здравый смысл и вера не дерутся.|At last sense and faith do not fight.|g-5,h+15,c+5|Хоронить за городом без освящения.|Bury outside without consecration.|Мёртвым нужна земля. Живым — безопасность.|The dead need earth. The living need safety.|h+12,c-12|Продолжать хоронить на старом кладбище.|Keep using the old cemetery.|Тогда старое кладбище начнёт возвращать нам болезни.|Then the old graveyard returns disease to us.|c+8,h-15
78|gromm|Храмы открывают кухни, но готовят плохо. Если люди начнут травиться святой похлёбкой, винить будут вас.|Temples open kitchens but cook poorly. If people poison themselves on holy stew, they will blame you.|Отправить дворцовых поваров обучать храмы.|Send palace cooks to train temples.|Научу их хотя бы не убивать супом.|I will teach them not to kill with soup.|g-8,h+12,c+5|Закрыть храмовые кухни.|Close temple kitchens.|Люди будут голоднее, но меньше бегать к лекарям.|People hunger more but visit healers less.|h+8,c-12,f+5|Оставить как есть.|Leave as is.|Тогда пусть бог благословит их котлы. Им понадобится.|Then let god bless their pots. They will need it.|c+5,h-10
79|varn|Храмовый колокол звонит ночью. Люди просыпаются, солдаты нервничают, больные не спят.|The temple bell rings at night. People wake, soldiers fret, the sick cannot sleep.|Запретить ночной звон.|Forbid night ringing.|Ночь станет тише. Священники — громче днём.|Night grows quiet. Priests louder by day.|h+10,c-10,a+3|Оставить звон.|Keep the ringing.|Тогда город будет молиться вместо сна.|The city will pray instead of sleep.|c+10,h-8,a-3|Звон только при опасности.|Ring only in danger.|Хорошо. Колокол станет сигналом, а не пыткой.|Good. The bell becomes signal, not torture.|h+8,c+3,a+5
80|edric|Если вы слишком часто стоите рядом с Малриком, народ перестанет видеть короля. Он увидит человека в тени жреца.|If you stand too often beside Malrik, people stop seeing the king. They see a man in the priest's shadow.|Появляться с Малриком чаще.|Appear with Malrik more often.|Святость укроет вас. И скроет тоже.|Holiness will cover you. And hide you too.|c+15,a-5,g-5|Появляться отдельно от церкви.|Appear apart from the church.|Трону нужен собственный силуэт.|The throne needs its own silhouette.|a+5,c-8,h+3|Появляться вместе только на больших праздниках.|Appear together only on great feasts.|Редкость делает союз сильнее. И безопаснее.|Rarity makes the alliance stronger. And safer.|c+5,a+3
81|malrik|Я предлагаю, чтобы каждый чиновник принёс клятву верности не только короне, но и истинной вере.|I propose every official swear loyalty not only to the crown but to the true faith.|Ввести клятву веры.|Institute the oath of faith.|Теперь власть будет стоять на двух коленях: перед троном и алтарём.|Power will kneel twice: before throne and altar.|c+20,a-5,g-5|Клятва только короне.|Oath to crown alone.|Трон хочет верность без души. Опасная экономия.|The throne wants loyalty without soul. Dangerous thrift.|a+8,c-15|Клятва веры добровольная.|Voluntary faith oath.|Добровольное благочестие часто становится обязательным само.|Voluntary piety often becomes mandatory on its own.|c+5,h+3
82|arvel|Люди приходят исповедоваться и признаются в мелких кражах еды. Священники хотят передавать имена стражникам.|People confess petty thefts of food. Priests want to give names to guards.|Запретить передавать имена.|Forbid passing names.|Исповедь останется убежищем, не ловушкой.|Confession stays refuge, not trap.|c+5,h+12,a-5|Передавать имена воров.|Give thieves' names.|Тогда люди перестанут каяться. И начнут молчать.|Then people stop confessing. And start staying silent.|a+8,f+5,c-8|Передавать только имена опасных преступников.|Report only dangerous criminals.|Это похоже на справедливость. Она редко бывает простой.|That resembles justice. It is rarely simple.|a+5,c+3,h+3
83|borvin|Старые храмы требуют ремонта. Если крыши рухнут, священники обвинят корону. Если платить, рухнет казна.|Old temples need repair. If roofs fall, priests blame the crown. If you pay, the treasury falls.|Оплатить ремонт.|Pay for repairs.|Крыши спасены. Моя душа — нет.|Roofs saved. My soul — not.|g-18,c+15,h+5|Ремонтировать только главные храмы.|Repair only main temples.|Выборочная святость. Дешевле полной.|Selective holiness. Cheaper than full.|g-8,c+8|Пусть храмы чинятся сами.|Let temples repair themselves.|Казна суха. Храмы, возможно, нет.|Treasury dry. Temples perhaps not.|g+5,c-12
84|rudolf|Малрик хочет везти реликвии вместе с армией. Если враг захватит обоз, это станет позором.|Malrik wants relics with the army. If the enemy takes the train, it is disgrace.|Взять реликвии с армией.|Take relics with the army.|Солдаты пойдут смелее. Обоз станет целью.|Soldiers march bolder. The train becomes a target.|c+15,a+5,g-8|Оставить реликвии в столице.|Leave relics in the capital.|Правильно. Война и так тащит достаточно лишнего.|Right. War hauls enough already.|a+5,c-10|Взять копии реликвий.|Take copies of relics.|Подделка для храбрости. Странно, но легче защищать.|Fakes for courage. Strange, but easier to guard.|c+5,g-3
85|mira|Священники говорят, что закрывать больных — значит лишать их молитвы. Они требуют открыть карантинные дома.|Priests say quarantine denies prayer. They demand quarantine houses opened.|Оставить карантин.|Keep quarantine.|Спасибо. Болезнь ненавидит закрытые двери.|Thank you. Disease hates closed doors.|h+20,c-15|Пустить священников внутрь карантина.|Let priests into quarantine.|Они войдут к больным. Надеюсь, не выйдут к здоровым с заразой.|They enter to the sick. I hope they leave without plague.|c+8,h-5|Открыть карантинные дома.|Open quarantine houses.|Тогда город получит свободу болезни.|Then the city gets freedom of disease.|c+15,h-25
86|gromm|Если церковь объявит зимний пост, нам нужно больше рыбы и репы. Мяса будет меньше, но люди возненавидят холод сильнее.|If the church declares a winter fast, we need more fish and turnip. Less meat, but people will hate the cold more.|Готовить запасы для поста.|Stock for the fast.|Зима будет святой и пахнуть репой.|Winter will be holy and smell of turnip.|f+10,g-12,c+8|Не поддерживать зимний пост.|Do not support the winter fast.|Люди будут есть лучше. Священники — говорить хуже.|People eat better. Priests preach worse.|f-5,c-10,h+5|Пост только для богатых.|Fast only for the rich.|О, редкое чудо: богатые страдают первыми.|A rare miracle: the rich suffer first.|f+8,c+5,h+8
87|varn|Один стражник признался священнику, что брал взятки. Священник не хочет выдавать его имя.|A guard confessed bribes to a priest. The priest will not give his name.|Уважать тайну исповеди.|Respect confession secrecy.|Стража поймёт, что храм над законом. Опасный урок.|Guards learn the temple is above law. A dangerous lesson.|c+12,a-8|Потребовать имя.|Demand the name.|Хорошо. Взятки прячутся хуже, когда исповедь не щит.|Good. Bribes hide poorly when confession is no shield.|a+10,c-12|Объявить амнистию тем, кто признается сам.|Amnesty for those who confess themselves.|Мягкий капкан. Иногда лучшие.|A soft trap. Sometimes the best.|a+5,c+5,g+3
88|edric|Церковь уже кормит бедных, лечит больных, судит грешников и говорит, кто достоин трона. Что остаётся королю?|The church feeds the poor, heals the sick, judges sinners, and says who deserves the throne. What remains for the king?|Вернуть часть функций короне.|Return some duties to the crown.|Трон снова станет видимым. Храм — обиженным.|The throne visible again. The temple offended.|a+8,g-10,c-15|Оставить церковь сильной.|Leave the church strong.|Тогда править будет легко. Пока церковь хочет того же, что и вы.|Rule is easy — while church wants what you want.|c+20,g+5,a-10|Разделить обязанности письменно.|Divide duties in writing.|Хрупкий договор лучше крепкой ненависти.|A fragile pact beats solid hatred.|c+5,a+5,g-5
89|malrik|Ваше Величество, среди священников есть те, кто считает вас временным наказанием богов. Я могу заставить их молчать.|Your Majesty, some priests think you a temporary punishment of the gods. I can silence them.|Заставь их молчать.|Make them silent.|Молчание будет куплено страхом. Но страх тоже служит.|Silence bought with fear. Fear serves too.|c+10,g-10,h+5|Пусть говорят.|Let them speak.|Тогда храм станет рынком мнений. Опасное зрелище.|The temple becomes a market of opinions. Dangerous.|c-5,h-10|Назови их имена.|Name them.|Вы хотите лечить веру мечом. Иногда это оставляет шрамы на троне.|You would heal faith with the sword. Sometimes that scars the throne.|a+5,c-15
90|arvel|Люди просят провести службу за душу прежнего короля. Запретить — жестоко. Разрешить — опасно.|People ask a service for the former king's soul. Forbid it — cruel. Allow it — dangerous.|Разрешить службу.|Allow the service.|Мёртвые иногда успокаивают живых.|The dead sometimes calm the living.|c+8,h+8,a-5|Запретить службу.|Forbid the service.|Память не исчезнет. Она просто уйдёт в подвал.|Memory will not vanish. It goes to the cellar.|a+8,c-8,h-10|Разрешить без имени прежнего короля.|Allow without the former king's name.|Компромисс для тех, кто боится даже мёртвых имён.|A compromise for those who fear even dead names.|c+3,h+3
91|borvin|Новая монета может нести ваш профиль или церковный символ. Первый вариант укрепит трон, второй — доверие народа.|New coin may bear your profile or a church symbol. One strengthens the throne, the other people's trust.|Профиль короля.|The king's profile.|Монета будет смотреть на народ вашим лицом.|The coin will look at the people with your face.|a+5,g+5,c-8|Церковный символ.|A church symbol.|Святая монета тратится так же быстро, но спорят с ней меньше.|Holy coin spends as fast, but argued over less.|c+12,g+5,a-5|Обе стороны: корона и алтарь.|Both sides: crown and altar.|Двуликая монета. Очень честно для политики.|A two-faced coin. Honest for politics.|c+5,a+5,g-5
92|rudolf|Малрик хочет прислать священника на военный совет. Я не обсуждаю фланги с человеком, который верит в чудеса.|Malrik wants a priest on the war council. I do not discuss flanks with a man who believes in miracles.|Пустить священника на совет.|Allow the priest on council.|Тогда пусть он молится, чтобы не мешал.|Then let him pray not to interfere.|c+12,a-10|Запретить.|Forbid it.|Хорошо. Карта останется картой, не иконой.|Good. The map stays a map, not an icon.|a+10,c-10|Пускать только без права голоса.|Allow without a vote.|Пусть слушает. Молчание я ещё терплю.|Let him listen. I still tolerate silence.|c+5,a+3
93|mira|Женщины идут рожать в храм, потому что им обещают благословение. Но там нет чистых простыней.|Women go to the temple to give birth for promised blessing. There are no clean linens.|Запретить роды в храме.|Forbid births in the temple.|Дети будут рождаться в чистоте, а не в дыму свечей.|Children will be born in cleanliness, not candle smoke.|h+15,c-10|Оборудовать храмовую комнату для родов.|Equip a temple birthing room.|Если уж они идут к храму, пусть храм хотя бы моет руки.|If they go to the temple, let it wash its hands.|g-10,h+15,c+8|Не вмешиваться.|Do not interfere.|Тогда благословение будет стоять рядом с заражением.|Blessing beside infection.|c+8,h-12
94|gromm|Храм просит лучшее вино для службы. Солдаты просят то же самое без службы.|The temple wants the best wine for service. Soldiers want the same without service.|Отдать вино храму.|Give wine to the temple.|Святая чаша будет полной. Солдатские кружки — пустыми.|The holy cup full. Soldiers' mugs empty.|c+10,a-5,g-5|Отдать вино армии.|Give wine to the army.|Солдаты выпьют за ваше здоровье. Храм — против него.|Soldiers drink to your health. The temple against it.|a+10,c-8|Разбавить вино и разделить.|Dilute the wine and share.|Все получат меньше, чем хотели. Значит, справедливо.|All get less than wanted. So, fair.|c+5,a+5
95|varn|Во время службы у храма поймали человека с ножом. Он говорит, что хотел убить не вас, а Малрика.|During service by the temple a man with a knife was caught. He says he meant to kill not you but Malrik.|Отдать его церкви.|Hand him to the church.|Храм будет судить нападение на храм. Удобно для них.|The temple tries an attack on the temple. Convenient for them.|c+12,a-5|Судить королевским судом.|Try him in royal court.|Хорошо. Нож в столице — дело короны.|Good. A knife in the capital is the crown's business.|a+10,c-8|Допросить тайно.|Interrogate in secret.|Если он правда шёл за Малриком, нам стоит узнать, кто его послал.|If he sought Malrik, we should learn who sent him.|a+5,g-5,c-3
96|edric|Народ теперь боится двух вещей: королевского меча и церковного проклятия. Вместе они держат порядок. Вместе они могут сломать страну.|People now fear the royal sword and church curse. Together they hold order. Together they can break the realm.|Использовать оба страха.|Use both fears.|Порядок будет крепким. Как клетка.|Order strong as a cage.|a+10,c+10,h-15|Смягчить королевские наказания.|Soften royal punishments.|Трон станет менее страшным. Это риск и надежда.|The throne less fearsome. Risk and hope.|h+10,a-8,c+3|Ограничить церковные проклятия.|Limit church curses.|Вы забрали у храма гром. Теперь ждите молний.|You took thunder from the temple. Now await lightning.|c-12,h+8,a+5
